Ticker,Company Name,Market Cap,Website
A,"Agilent Technologies, Inc. Common Stock",46915854336,https://www.agilent.com
AA,Alcoa Inc. Common Stock,8583213056,https://www.alcoa.com
AAC,"AAC Holdings, Inc. Common Stock",1250000000,https://www.aresacquisitioncorporation.com
AAN,"Aaron's, Inc. Common Stock",373075936,https://www.aarons.com
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,8920644608,https://www.advanceautoparts.com
AAT,"American Assets Trust, Inc. Common Stock",1688381056,https://www.americanassetstrust.com
AAV,Advantage Oil & Gas Ltd  Ordinary Shares,,
AB,Allianceberstein Holding L.P.  Units,4109412864,https://www.alliancebernstein.com
ABB,ABB Ltd Common Stock,58950004736,https://global.abb/group/en
ABBV,AbbVie Inc. Common Stock,281878036480,https://www.abbvie.com
